ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,2,23,2311801,2,3,2,189.481955,233.73146,A,C,C,A,A,A,A,D,A,B
2017,3,31,3164704,2,2,1,259.16123,268.518845,A,A,D,A,A,B,A,C,B,A
2017,2,21,2102002,2,3,1,124.000353,187.510182,B,B,C,A,A,B,A,D,D,C
2017,1,15,1505304,2,3,1,239.840319,243.802308,A,C,D,C,A,C,A,D,A,C
2017,1,15,1500107,2,3,1,216.479631,185.789704,B,C,D,B,A,B,A,C,C,C
2017,3,35,3505906,2,3,1,218.604086,229.703244,A,B,C,B,A,A,A,C,A,B
2017,1,13,1302603,1,3,1,196.545365,216.863659,B,C,C,A,A,A,A,B,E,C
2017,5,52,5220454,2,3,1,263.097265,189.399399,A,B,D,B,A,B,A,A,E,C
2017,4,43,4321600,2,3,1,206.80463,201.254497,A,A,C,A,A,A,A,D,D,C
2017,2,29,2911709,2,3,1,172.375521,191.939314,B,A,E,A,A,A,A,D,B,B
2017,4,42,4216909,2,3,1,204.831131,166.073518,B,A,E,B,B,A,C,D,A,C
2017,1,13,1302603,1,3,1,241.99805,269.164458,B,C,D,A,A,A,A,E,C,B
2017,3,31,3120805,2,3,1,233.849962,256.41916199999997,A,A,D,B,A,A,A,A,A,A
2017,3,31,3122306,2,2,1,302.763054,323.761984,B,C,D,C,A,C,A,A,B,A
2017,4,42,4200200,2,2,1,292.865201,259.788575,B,A,D,C,A,A,A,D,B,A
2017,3,35,3552205,2,3,1,208.095027,244.247546,A,C,C,B,A,B,C,D,A,B
2017,3,32,3205002,2,3,1,192.212272,289.728531,A,C,D,B,A,A,A,B,B,A
2017,2,29,2914109,2,3,1,228.62948,260.086314,A,C,E,A,A,A,C,A,A,B
2017,1,15,1501907,2,3,1,179.531322,231.513429,A,C,H,A,A,C,A,B,A,B
2017,3,35,3525904,2,3,1,240.21286,297.086979,A,F,D,C,A,A,A,D,B,A
2017,3,35,3550308,1,3,1,221.286251,240.389299,B,C,D,A,A,B,A,D,B,B
2017,3,35,3536570,2,3,1,217.917127,257.662599,B,D,C,A,A,A,A,D,B,B
2017,2,23,2308401,2,3,1,223.309335,180.359988,B,A,C,A,A,B,A,A, ,B
2017,1,15,1500800,2,2,1,226.872278,192.452517,A,A,D,B,A,A,A,B,C,A
2017,2,21,2101772,2,3,1,141.563841,200.336968,A,C,E,A,A,A,A,B,C,B
2017,2,28,2804409,2,2,1,177.136359,166.532506,B,F,D,A,A,A,B,D,A,C
2017,3,35,3550308,1,2,1,278.86719,272.341545,B,A,D,B,A,B,A,D,B,A
2017,3,33,3301900,2,3,2,229.687659,236.383607,B,A,F,B,C,A,A,B,E,A
2017,3,35,3515004,2,3,1,179.122199,211.891701,A,F,D,B,A,A,A,A,A,C
2017,3,31,3118601,2,3,1,255.80902,231.121736,B,A,D,D,A,A,A,D,B,C
2017,1,15,1505403,2,3,2,163.291121,166.949351,B,C,D,A,A,B,C,B,D,B
2017,3,32,3205002,2,3,1,202.149737,241.986645,B,E,D,A,A,B,A,B,B,B
2017,2,25,2510808,2,3,1,201.400577,258.528539,B,C,D,B,A,B,A,A,A,C
2017,2,25,2511905,2,3,1,140.210253,162.725176,B,C,D,A,A,B,A,B,B,A
2017,3,31,3170206,2,3,2,210.995638,219.010148,B,A,F,B,A,B,B,C,A,C
2017,3,35,3516200,2,3,1,219.989243,247.338559,B,A,D,C,A,A,B,A,B,B
2017,3,35,3538709,2,3,1,226.736638,269.575993,A,F,E,B,A,C,A,D,E,A
2017,4,41,4128559,2,3,1,213.181797,232.748929,A,A,C,D,A,A,A,C,A,C
2017,1,15,1503093,2,3,2,232.847373,196.838556,B,C,F,A,A,A,A,E,D,B
2017,2,23,2306256,2,3,2,223.535768,191.054762,B,C,C,A,A,A,C,D,E,B
2017,4,41,4104006,2,3,1,254.166521,204.919245,A,A,C,E,A,A,A,D,D,B
2017,4,43,4322400,2,3,2,166.637822,181.705149,A,C,D,B,A,A,C,A,A,C
2017,3,31,3112000,2,3,1,232.066314,230.921697,B,A,C,B,A,C,A,A,A,B
2017,2,25,2508554,2,3,2,228.82126,205.537414,B,C,C,A,A, ,B,A,B,C
2017,5,52,5204656,2,2,1,233.347235,275.057856,A,C,C,B,A,A,C,B,A,B
2017,4,42,4211900,2,2,1,157.762998,200.048955,A,F,E,B,A,A,C,A,E,B
2017,3,35,3514106,2,3,1,210.593842,224.834017,A,A,D,B,A,A,A,B,A,A
2017,2,21,2111722,2,3,1,158.19223,176.567303,A,B,D,A,B,A,C,C,C,A
2017,3,35,3550308,1,3,1,218.890131,180.365578,B,C,C,C,B,A,B,A,C,A
2017,3,33,3300100,2,3,1,247.797839,269.386518,B,C,D,B,A,A,A,C,D,B
2017,5,51,5103403,1,2,1,245.486011,262.235374,B,C,D,A,A,A,A,B,A,B
2017,1,15,1504703,2,3,2,210.316391,210.766365,A,C,D,B, ,A,C,D,A,C
2017,3,33,3302908,2,3,1,249.569476,238.009068,B,A,C,B,C,A,A,D,E,C
2017,3,35,3550308,1,2,1,184.442951,210.61294,A,B,E,A,A,A,C,B,E,C
2017,2,25,2512101,2,3,1,196.947877,245.60137,A,C,C,B,A,A,B,A,A,C
